Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Pioneer Square/Chinatown International District,506 Maynard Ave S,Seattle,WA,98104,1909,4,Visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.32508299999999 47.598013)
Medium Risk,Ballard,5205 Ballard Ave NW,Seattle,WA,98107,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.38230399999999 47.665671)
Medium Risk,Madrona/Leschi,2513 S Jackson St,Seattle,WA,98144,1924,1,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.299138 47.599257)
Critical Risk,Beacon Hill,5117 13th Ave S,Seattle,WA,98108,1919,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.316114 47.55639)
Medium Risk,Capitol Hill,504 E Denny Way,Seattle,WA,98122,1914,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.324922 47.618493)
Critical Risk,Wallingford,120 NE 54th St,Seattle,WA,98105,1913,3,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.326608 47.667904)
High Risk,Queen Anne,100 W Roy St,Seattle,WA,98119,1912,3,Visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.358388 47.625709)
Medium Risk,Whittier Heights,7000 15th Ave NW,Seattle,WA,98117,1927,1,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.37678500000001 47.679685)
High Risk,Columbia City,3804 S Hudson St,Seattle,WA,98118,1920,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.28426499999999 47.557048)
High Risk,Seward Park,6701 51st Ave S,Seattle,WA,98118,1927,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.269914 47.542038)
Medium Risk,Cascade/Eastlake,1809 Minor Ave,Seattle,WA,98101,1917,2,Substantial Alteration,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.33093599999998 47.617065)
High Risk,Downtown,606 Post Ave,Seattle,WA,98104,1900,5,Visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.334846 47.601973)
High Risk,First Hill,613 9th Ave,Seattle,WA,98104,1886,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.32513199999998 47.606002)
High Risk,First Hill,803 Terry Ave,Seattle,WA,98104,1912,4,Visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.32526600000001 47.607805)
Medium Risk,Fremont,3515 Fremont Ave N,Seattle,WA,98103,1911,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.349917 47.651175)
Medium Risk,Belltown,2515 Western Ave,Seattle,WA,98121,1917,2,No visible retrofit,Other Mixed Uses,101+,Sandborn Insurance Maps,POINT (-122.349735 47.614101)
High Risk,Duwamish/SODO,1700 1st Ave S,Seattle,WA,98134,1935,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.334218 47.587953)
Medium Risk,Ballard,5333 Ballard Ave NW,Seattle,WA,98107,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.38409600000001 47.66718300000001)
Medium Risk,Pioneer Square/Chinatown International District,664 S King St,Seattle,WA,98104,1911,5,Substantial Alteration,Commercial/Residential,101+,Google Street View,POINT (-122.324131 47.598366)
Medium Risk,Pioneer Square/Chinatown International District,416 7th Ave S,Seattle,WA,98104,1920,4,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.32375400000001 47.598686)
Medium Risk,Ravenna/Bryant,6545 Ravenna Ave NE,Seattle,WA,98115,1911,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.30380199999999 47.676561)
High Risk,Pioneer Square/Chinatown International District,216 1st Ave S,Seattle,WA,98104,1900,4,Visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.334131 47.600342)
Medium Risk,Capitol Hill,1833 13th Ave,Seattle,WA,98122,1928,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.315604 47.618495)
Medium Risk,Downtown,1221 2nd Ave,Seattle,WA,98101,1906,6,Visible retrofit,Commercial/Office,101+,Google Street View-Rosettes,POINT (-122.337107 47.607295)
High Risk,Capitol Hill,1522 12th Ave,Seattle,WA,98122,1922,1,Substantial Alteration,Public Assembly,101+,Google Street View,POINT (-122.316852 47.614772)
Medium Risk,Georgetown,6200 13th Ave S,Seattle,WA,98108,1909,2,Visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.31612100000001 47.547499)
Medium Risk,Downtown,107 Pine St,Seattle,WA,98101,1900,4,Substantial Alteration,Commercial/Residential,101+,Google Street View,POINT (-122.340601 47.609958)
Medium Risk,Univ Dist,3920 Jefferson Rd NE,Seattle,WA,98195,1929,2,No visible retrofit,Industrial,1-10,University of Washington Facilities List,POINT (-122.30407800000002 47.653369)
Medium Risk,Belltown,2110 Western Ave,Seattle,WA,98121,1923,2,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34515800000001 47.611419)
Critical Risk,Central Area/Squire Park,400 23rd Ave,Seattle,WA,98122,1923,3,Substantial Alteration,Schools,101+,Sandborn Insurance Maps,POINT (-122.30264099999998 47.605107)
High Risk,Fauntleroy/Seaview,6459 California Ave SW,Seattle,WA,98136,1928,1,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.38724599999999 47.545028)
Medium Risk,Queen Anne,706 Taylor Ave N,Seattle,WA,98109,1920,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.346262 47.625756)
Medium Risk,Duwamish/SODO,5021 Colorado Ave S,Seattle,WA,98134,1930,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.336828 47.556643)
Medium Risk,Belltown,1920 Post Al,Seattle,WA,98101,1910,5,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.342001 47.610115)
High Risk,Duwamish/SODO,411 1st Ave S,Seattle,WA,98104,1913,7,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.334287 47.598657)
Medium Risk,Capitol Hill,1222 Summit Ave,Seattle,WA,98101,1916,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.32471400000001 47.612177)
Medium Risk,Greenwood/Phinney Ridge,8410 Greenwood Ave N,Seattle,WA,98103,1927,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.355307 47.690303)
Medium Risk,Queen Anne,401 Queen Anne Ave N,Seattle,WA,98109,1919,1,No visible retrofit,Office,11-100,Permit Drawing Review,POINT (-122.35673500000001 47.622442)
Medium Risk,Interbay,3208 15th Ave W,Seattle,WA,98119,1926,1,No visible retrofit,Commercial,1-10,Permit Drawing Review,POINT (-122.376153 47.64885)
Medium Risk,Pioneer Square/Chinatown International District,303 12th Ave S,Seattle,WA,98144,1920,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.317194 47.599756)
High Risk,Duwamish/SODO,2915 1st Ave S,Seattle,WA,98134,1929,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.33421300000002 47.577181)
Medium Risk,First Hill,1017 Boren Ave,Seattle,WA,98104,1925,5,No visible retrofit,Residential,101+,Google Street View,POINT (-122.325599 47.609831)
High Risk,Duwamish/SODO,1530 1st Ave S,Seattle,WA,98134,1937,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.334221 47.58927)
Medium Risk,North Beacon Hill/Jefferson Park,1501 S Dearborn St,Seattle,WA,98144,1920,1,Permitted Retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.31239700000002 47.595819)
Medium Risk,Pioneer Square/Chinatown International District,400 2nd Av Et S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.331215 47.600892)
Medium Risk,Capitol Hill,1450 E Republican St,Seattle,WA,98112,1926,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31331700000001 47.623099)
Medium Risk,West Seattle Junction/Genesee Hill,4721 California Ave SW,Seattle,WA,98116,1924,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.386804 47.560224)
Medium Risk,Belltown,2132 2nd Ave,Seattle,WA,98121,1918,6,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.344192 47.613145)
Critical Risk,Seward Park,5902 Lake Washington Blvd S,Seattle,WA,98118,1927,2,Permitted Retrofit,Schools,11-100,Permit Drawing Review,POINT (-122.25749499999999 47.549122)
Medium Risk,Central Area/Squire Park,1101 17th Ave,Seattle,WA,98122,1928,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.310174 47.611713)
Medium Risk,Pioneer Square/Chinatown International District,210 3rd Ave S,Seattle,WA,98104,1904,5,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.330284 47.600458)
Critical Risk,North Capitol Hill,710 E Roy St,Seattle,WA,98102,1921,3,Permitted Retrofit,Schools,101+,Sandborn Insurance Maps,POINT (-122.322972 47.625113)
High Risk,Wallingford,5050 8th Ave NE,Seattle,WA,98105,1910,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.319537 47.666488)
Medium Risk,First Hill,1420 Boren Ave,Seattle,WA,98101,1925,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.32854 47.613037)
Medium Risk,Judkins Park,1713 E Yesler Way,Seattle,WA,98122,1912,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.309499 47.601692)
Medium Risk,Queen Anne,707 Westlake Ave N,Seattle,WA,98109,1914,2,No visible retrofit,Commercial,101+,,POINT (-122.338875 47.626085)
Medium Risk,Pioneer Square/Chinatown International District,311 6th Ave S,Seattle,WA,98104,1926,2,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.326358 47.599953)
High Risk,Queen Anne,2555 8th Ave W,Seattle,WA,98119,1926,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.36759500000001 47.642313)
High Risk,Duwamish/SODO,400 Occidental Ave S,Seattle,WA,98104,1900,6,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.33291100000001 47.59914)
Medium Risk,Cascade/Eastlake,2014 4th Ave,Seattle,WA,98121,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.340625 47.61338)
High Risk,Pioneer Square/Chinatown International District,77 Yesler Way,Seattle,WA,98104,1914,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.335224 47.601744)
Critical Risk,Montlake/Portage Bay,1617 Interlaken Dr E,Seattle,WA,98112,1911,4,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,POINT (-122.30751900000001 47.634029)
Medium Risk,Ballard,5429 Ballard Ave NW,Seattle,WA,98107,1923,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38559700000002 47.668162)
Medium Risk,Cascade/Eastlake,513 Dexter Ave N,Seattle,WA,98109,1928,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.342357 47.623726)
Medium Risk,Univ Dist,4217 University Way NE,Seattle,WA,98105,1941,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.313192 47.658948)
Medium Risk,Ballard,2215 NW Market St,Seattle,WA,98107,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.385716 47.668703)
Medium Risk,Queen Anne,2201 Queen Anne Ave N,Seattle,WA,98109,1911,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.35693600000002 47.638558)
Medium Risk,Wallingford,4136 Meridian Ave N,Seattle,WA,98103,1924,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.333797 47.657681)
Medium Risk,Capitol Hill,1515 Broadway,Seattle,WA,98122,1912,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.32080200000001 47.614568)
Medium Risk,Capitol Hill,305 Bellevue Ave E,Seattle,WA,98102,1908,5,Visible retrofit,Residential,101+,Google Street View,POINT (-122.326597 47.621156)
Medium Risk,Green Lake,6315 Roosevelt Way NE,Seattle,WA,98115,1940,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.317368 47.674277)
Medium Risk,Cascade/Eastlake,845 Bellevue Pl E,Seattle,WA,98102,1925,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,POINT (-122.326873 47.62691)
High Risk,Columbia City,4721 Rainier Ave S,Seattle,WA,98118,1914,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.286485 47.560098)
High Risk,Capitol Hill,722 E Union St,Seattle,WA,98122,1912,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.32249500000002 47.613001)
High Risk,Ballard,5414 Ballard Ave NW,Seattle,WA,98107,1908,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.38527900000001 47.667958)
Medium Risk,Georgetown,5421 1st Ave S,Seattle,WA,98108,1941,1,No visible retrofit,Industrial,1-10,Permit Drawing Review,POINT (-122.33421999999999 47.553799)
Medium Risk,Columbia City,5020 Rainier Ave S,Seattle,WA,98118,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.283945 47.556299)
Medium Risk,Capitol Hill,421 E Pike St,Seattle,WA,98122,1920,2,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.325751 47.614085)
Medium Risk,Belltown,2933 2nd Ave,Seattle,WA,98121,1925,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.352828 47.618237)
Medium Risk,Madrona/Leschi,2713 S Jackson St,Seattle,WA,98144,1907,2,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.29676700000002 47.599231)
Medium Risk,Downtown,600 Western Ave,Seattle,WA,98104,1913,3,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.33551799999998 47.601746)
High Risk,Pioneer Square/Chinatown International District,77 S Washington St,Seattle,WA,98104,1903,5,Visible retrofit,Other Mixed Uses,101+,Field Visit,POINT (-122.335293 47.600867)
Medium Risk,Northgate/Maple Leaf,1200 NE 82nd St,Seattle,WA,98115,1910,1,Permitted Retrofit,Government,1-10,Permit Drawing Review,POINT (-122.314909 47.688559)
Medium Risk,Ballard,5449 Ballard Ave NW,Seattle,WA,98107,1920,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.38607200000001 47.668471)
Critical Risk,Ravenna/Bryant,6220 32nd Ave NE,Seattle,WA,98115,1949,1,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.293281 47.675064)
Medium Risk,Ballard,5140 Ballard Ave NW,Seattle,WA,98107,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes,POINT (-122.382008 47.66540700000001)
Medium Risk,Beacon Hill,6010 Airport Way S,Seattle,WA,98108,1910,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.316546 47.548961)
Critical Risk,Univ Dist,4105 Memorial Way NE,Seattle,WA,98195,1902,4,Permitted Retrofit,Schools,101+,University of Washington Daily--Online,
Medium Risk,First Hill,517 9th Ave,Seattle,WA,98104,1930,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.324532 47.605348)
Medium Risk,Cascade/Eastlake,133 Pontius Ave N,Seattle,WA,98109,1916,4,Visible retrofit,Residential,11-100,Google Street View,
Medium Risk,Belltown,2327 2nd Ave,Seattle,WA,98121,1924,3,No visible retrofit,Residential,101+,Google Street View,POINT (-122.346582 47.61458)
Medium Risk,Ballard,5221 Ballard Ave NW,Seattle,WA,98107,1902,2,Permitted Retrofit,Commercial,101+,Permit Drawing Review,POINT (-122.382675 47.665998)
Medium Risk,Queen Anne,117 John St,Seattle,WA,98109,1907,2,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.35451400000001 47.619763)
Medium Risk,Central Area/Squire Park,806 20th Ave,Seattle,WA,98122,1910,1,No visible retrofit,Public Assembly,11-100,Permit Drawing Review,POINT (-122.30632900000002 47.609283)
High Risk,Capitol Hill,1625 Broadway,Seattle,WA,98122,1910,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.320824 47.616005)
Medium Risk,Capitol Hill,1743 Summit Ave,Seattle,WA,98122,1916,4,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.325566 47.617588)
Medium Risk,Downtown,509 3rd Ave,Seattle,WA,98104,1908,7,Substantial Alteration,Other Mixed Uses,101+,Photos from Previous Surveys,POINT (-122.33092300000001 47.60219)
Medium Risk,Duwamish/SODO,4025 7th Ave S,Seattle,WA,98108,1906,2,No visible retrofit,Industrial,11-100,Google Street View,POINT (-122.32406200000001 47.567626)
Medium Risk,Capitol Hill,1325 E Madison St,Seattle,WA,98122,1937,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31520499999999 47.613487)
Medium Risk,Greenwood/Phinney Ridge,213 N 85th St,Seattle,WA,98103,1919,3,No visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.35578999999998 47.6906)
Medium Risk,Queen Anne,600 Queen Anne Ave N,Seattle,WA,98109,1918,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.356712 47.625029)
Medium Risk,Univ Dist,5649 University Way NE,Seattle,WA,98105,1925,1,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.31304900000002 47.670417)
Medium Risk,Duwamish/SODO,115 S Jackson St,Seattle,WA,98104,1900,2,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.333384 47.59921000000001)
Medium Risk,North Beacon Hill/Jefferson Park,2541 15th Ave S,Seattle,WA,98144,1929,2,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.313414 47.579707)
Medium Risk,Capitol Hill,910 E Pike St,Seattle,WA,98122,1908,3,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.320134 47.614084)
Medium Risk,Central Area/Squire Park,120 23rd Ave E,Seattle,WA,98112,1923,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,POINT (-122.302515 47.619646)
Medium Risk,Pioneer Square/Chinatown International District,700 S Dearborn St,Seattle,WA,98134,1929,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.32338300000002 47.595835)
Medium Risk,Ballard,2026 NW Market St,Seattle,WA,98107,1904,2,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.38339400000001 47.668696)
Medium Risk,Pioneer Square/Chinatown International District,614 Maynard Ave S,Seattle,WA,98104,1913,3,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.325078 47.59701)
Medium Risk,Greenwood/Phinney Ridge,5705 Phinney Ave N,Seattle,WA,98103,1930,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.35439999999998 47.670679)
Critical Risk,Cascade/Eastlake,1501 10th Ave E,Seattle,WA,98102,1930,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.320199 47.632441)
Medium Risk,Duwamish/SODO,4100 1st Ave S,Seattle,WA,98134,1941,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33421300000002 47.566881)
High Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1939,7,Substantial Alteration,Residential,101+,Permit Drawing Review,POINT (-122.321437 47.575484)
Medium Risk,Belltown,1901 3rd Ave,Seattle,WA,98101,1916,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.340046 47.611889)
Medium Risk,Univ Dist,4321 University Way NE,Seattle,WA,98105,1919,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.313154 47.66048)
Medium Risk,Licton Springs,10325 Aurora Ave N,Seattle,WA,98133,1931,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.344751 47.704077)
Critical Risk,Capitol Hill,1415 Summit Ave,Seattle,WA,98122,1904,2,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.32550000000002 47.613395)
Medium Risk,Pioneer Square/Chinatown International District,209 1st Ave S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.334269 47.600505)
Medium Risk,Capitol Hill,1611 Boylston Ave,Seattle,WA,98122,1923,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.323419 47.615671)
Critical Risk,West Seattle Junction/Genesee Hill,3000 California Ave SW,Seattle,WA,98116,1920,2,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.386713 47.57712)
Medium Risk,West Seattle Junction/Genesee Hill,3401 California Ave SW,Seattle,WA,98116,1934,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386761 47.573676)
Medium Risk,Capitol Hill,212 11th Ave E,Seattle,WA,98102,1929,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.318215 47.620428)
Medium Risk,Cascade/Eastlake,333 Westlake Ave N,Seattle,WA,98109,1923,2,Substantial Alteration,Commercial/Office,11-100,Google Street View-Rosettes,POINT (-122.338473 47.621869000000004)
High Risk,Ravenna/Bryant,8208 18th Ave NE,Seattle,WA,98115,1946,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.308951 47.688821)
Medium Risk,Georgetown,1205 S Vale St,Seattle,WA,98108,1914,2,No visible retrofit,Commercial/Residential,101+,Sandborn Insurance Maps,POINT (-122.31710200000002 47.549206)
Medium Risk,Montlake/Portage Bay,2409 10th Ave E,Seattle,WA,98102,1921,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32008 47.641731)
High Risk,Downtown,619 Post Ave,Seattle,WA,98104,1901,5,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.33504200000002 47.6025)
High Risk,Cascade/Eastlake,1828 Yale Ave,Seattle,WA,98101,1922,1,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.330624 47.618049)
High Risk,Downtown,1201 Western Ave,Seattle,WA,98101,1910,5,Visible retrofit,Commercial,101+,Google Street View-Rosettes,POINT (-122.338867 47.60586)
Medium Risk,Pioneer Square/Chinatown International District,633 Yesler Way,Seattle,WA,98104,1909,4,No visible retrofit,Office,101+,Photos from Previous Surveys,POINT (-122.32546500000001 47.601735)
Medium Risk,Columbia City,5607 Rainier Ave S,Seattle,WA,98118,1915,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.27798900000002 47.551739)
Medium Risk,Ballard,5345 Ballard Ave NW,Seattle,WA,98107,1901,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.38444 47.667412)
Medium Risk,Queen Anne,303 Nickerson St,Seattle,WA,98109,1920,1,No visible retrofit,Office,1-10,Sandborn Insurance Maps,POINT (-122.35100300000002 47.646686)
Medium Risk,Queen Anne,100 W Highland Dr,Seattle,WA,98119,1921,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.358574 47.629555)
Medium Risk,Wallingford,1820 N 45th St,Seattle,WA,98103,1922,1,Visible retrofit,Commercial,11-100,Google Street View,POINT (-122.335495 47.661381000000006)
Medium Risk,Capitol Hill,401 E Pine St,Seattle,WA,98122,1910,2,Substantial Alteration,Commercial,11-100,Google Street View,POINT (-122.326449 47.615229)
Medium Risk,Pioneer Square/Chinatown International District,925 S King St,Seattle,WA,98104,1924,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31988800000002 47.598358)
Medium Risk,Capitol Hill,1620 14th Ave,Seattle,WA,98122,1919,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.314248 47.615949)
Medium Risk,Broadview/Bitter Lake,12431 Greenwood Ave N,Seattle,WA,98133,1929,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.355536 47.719464)
Medium Risk,Ballard,5200 Ballard Ave NW,Seattle,WA,98107,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.382567 47.665903)
High Risk,Pioneer Square/Chinatown International District,315 3rd Ave S,Seattle,WA,98104,1902,4,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.33028099999999 47.599508)
Medium Risk,Columbia City,5619 Rainier Ave S,Seattle,WA,98118,1907,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.277806 47.551409)
Medium Risk,Pioneer Square/Chinatown International District,600 S Jackson St,Seattle,WA,98104,1932,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.32598700000001 47.599202)
High Risk,Capitol Hill,900 E Pine St,Seattle,WA,98122,1925,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.32038 47.615253)
Medium Risk,Capitol Hill,616 E Thomas St,Seattle,WA,98102,1927,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32323 47.621089000000005)
Medium Risk,Ballard,5354 Ballard Ave NW,Seattle,WA,98107,1903,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38470299999999 47.667587)
High Risk,Downtown,809 Western Ave,Seattle,WA,98104,1906,4,Substantial Alteration,Commercial,11-100,Google Street View,POINT (-122.336407 47.603188)
Medium Risk,Pioneer Square/Chinatown International District,111 Yesler Way,Seattle,WA,98104,1890,3,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,POINT (-122.33333700000001 47.601746)
Medium Risk,Pioneer Square/Chinatown International District,519 7th Ave S,Seattle,WA,98104,1907,3,Visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.323758 47.597846)
Critical Risk,Capitol Hill,1115 Harvard Ave,Seattle,WA,98122,1910,2,No visible retrofit,Schools,101+,Google Street View,POINT (-122.32150200000001 47.612044)
Medium Risk,Pioneer Square/Chinatown International District,507 Maynard Ave S,Seattle,WA,98104,1927,5,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.32508299999999 47.598016)
Medium Risk,Central Area/Squire Park,1810 15th Ave,Seattle,WA,98122,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31277600000001 47.61804)
Medium Risk,First Hill,1210 9th Ave,Seattle,WA,98101,1945,3,No visible retrofit,Office,101+,Sandborn Insurance Maps,POINT (-122.328739 47.609914)
Medium Risk,Madrona/Leschi,917 34th Ave,Seattle,WA,98122,0,1,No visible retrofit,Government,1-10,Google Street View,POINT (-122.28935300000002 47.6109)
Medium Risk,First Hill,151 11th Ave,Seattle,WA,98122,1901,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.318108 47.602941)
Medium Risk,Cascade/Eastlake,614 Aurora Ave N,Seattle,WA,98109,1926,1,No visible retrofit,Vacant,,Google Street View,POINT (-122.34358799999998 47.625044)
Medium Risk,Capitol Hill,1412 Summit Ave,Seattle,WA,98122,1908,5,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.32550099999999 47.613411)
Medium Risk,Cascade/Eastlake,2132 5th Ave,Seattle,WA,98121,1922,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.34155400000002 47.615148)
Medium Risk,Belltown,2201 1st Ave,Seattle,WA,98121,1900,4,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.34541300000001 47.612709)
Medium Risk,Capitol Hill,1628 Bellevue Ave,Seattle,WA,98122,1916,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.326808 47.616054)
Medium Risk,Capitol Hill,1633 Melrose Ave,Seattle,WA,98101,1916,5,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.327902 47.616288)
Medium Risk,Ballard,1100 NW Leary Way,Seattle,WA,98107,1932,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.371208 47.663648)
Medium Risk,Cascade/Eastlake,305 Bell St,Seattle,WA,98121,1925,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34455200000001 47.614864)
Medium Risk,Belltown,2819 Elliott Ave,Seattle,WA,98121,1902,2,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.35424399999998 47.61558500000001)
