"FID_HRA_20","HRA2010v2_","Year","hh_size","tenure","estimate","moe","SE","CoV"
3,"Beacon/Gtown/S.Park",2019,5,"Renter",530.717031470266,541.70363112192,329.332423411984,0.62054240561985
3,"Beacon/Gtown/S.Park",2019,6,"Owner",299.760585925103,345.714221502399,210.179322851442,0.701157299258672
3,"Beacon/Gtown/S.Park",2019,6,"Renter",185.83356826181,299.890038744167,182.320197876802,0.981093994923141
3,"Beacon/Gtown/S.Park",2019,7,"Owner",167.898735730366,249.462603209969,151.662493927996,0.903297414767646
3,"Beacon/Gtown/S.Park",2019,7,"Renter",320.015781441602,382.789209013497,232.719314801858,0.727211994838216
3,"Beacon/Gtown/S.Park",2019,NA,"Owner",15505.1994914718,2789.37989878529,1695.82256626387,0.109371218809317
4,"Bear Creek/Carnation/Duvall",2010,0,"Total",26833.2600246903,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,1,"Owner",2905.2917871859,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,1,"Renter",1261.09702076438,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,2,"Owner",8143.21640078638,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,2,"Renter",1083.5535144592,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,3,"Owner",4317.29773258441,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,3,"Renter",559.353265233603,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,4,"Owner",5207.88858970227,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,4,"Renter",496.809198289108,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,5,"Owner",1779.87800957075,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,5,"Renter",185.922751583012,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,6,"Owner",623.436425820992,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,7,"Owner",269.515328710321,0,0,0
4,"Bear Creek/Carnation/Duvall",2010,NA,"Owner",26833.2600246903,0,0,0
4,"Bear Creek/Carnation/Duvall",2014,0,"Total",28306.1464633258,1815.58521217494,1103.79743365973,0.0389949735860316
4,"Bear Creek/Carnation/Duvall",2014,1,"Owner",3068.13315726338,1430.97211437018,869.969273206582,0.283550037959418
4,"Bear Creek/Carnation/Duvall",2014,1,"Renter",1446.51529053718,1021.79728970868,621.20864310732,0.429451833085447
4,"Bear Creek/Carnation/Duvall",2014,2,"Owner",8331.80139486019,1960.08645135134,1191.64794923674,0.14302404639312
4,"Bear Creek/Carnation/Duvall",2014,2,"Renter",1305.35710535269,1056.52649512129,642.322500804784,0.492066499022303
4,"Bear Creek/Carnation/Duvall",2014,3,"Owner",4642.3671672087,1703.22363337049,1035.48644418117,0.223051388846474
4,"Bear Creek/Carnation/Duvall",2014,3,"Renter",887.711026342573,883.75534087238,537.285097221878,0.605247745356422
4,"Bear Creek/Carnation/Duvall",2014,4,"Owner",5387.10319243317,1703.33731374701,1035.55555694273,0.192228646816585
4,"Bear Creek/Carnation/Duvall",2014,4,"Renter",677.457190706992,741.184723787766,450.60831653541,0.665146554965572
