disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,dcc,damageCategory,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,hash,lastRefresh,id
1361,2001-03-01T05:00:00.000Z,Earthquake,848,BUILDING DAMAGE - MEADOW RIDGE ELEMENTARY,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,11291.85,8468.89,8738.2,2001-11-09T20:24:01.000Z,93d3227df91f4947806eb756a1a5d796ab3897d8,2021-07-14T16:34:13.666Z,5ee7598a556129600dd5ed98
1361,2001-03-01T05:00:00.000Z,Earthquake,850,BUILDING DAMAGE - SCENIC HILL ELEMENTARY SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,8311.06,6233.3,6431.53,2001-11-21T04:17:49.000Z,32fc919e79618fb8db25a635bbfa15d4cee1fece,2021-07-14T16:34:13.667Z,5ee7598a556129600dd5ed99
1361,2001-03-01T05:00:00.000Z,Earthquake,853,BUILDING DAMAGE - HANJIN SHIPPING,033-UP9A5-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,51.77,2001-10-24T04:18:34.000Z,342d65bc9ae2e48737197adfab5656b64bf613f8,2021-07-14T16:34:13.668Z,5ee7598a556129600dd5ed9b
1361,2001-03-01T05:00:00.000Z,Earthquake,854,"UTILITY DAMAGE - TERMINAL 5, SANITARY SEWER",033-UP9A5-00,F - Public Utilities,F,Public Utilities,Small,King,33,Washington,WA,53,0,-0.01,206.83,2001-10-24T04:18:34.000Z,4e6cc6f5df77aadd1a6ed2e37f1c0cb4e2ebd301,2021-07-14T16:34:13.668Z,5ee7598a556129600dd5ed9c
1361,2001-03-01T05:00:00.000Z,Earthquake,855,BUILDING DAMAGE - MAIN TERMINAL ROOF,033-UP9A5-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,17408,13056,13471.18,2001-10-04T02:59:50.000Z,9d48d47d3bfe7ab870eb44db3a348583ecea871c,2021-07-14T16:34:13.669Z,5ee7598a556129600dd5ed9d
1361,2001-03-01T05:00:00.000Z,Earthquake,856,TERMINAL 5 - OBSERVATION PLATFORM & PIER 2 PEDESTRIAN OVERPASS,033-UP9A5-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,14062.16,10546.62,10740.68,2001-11-20T23:27:43.000Z,ca04e4dcb1ac4039c6d2c17905264581a3fcd5c5,2021-07-14T16:34:13.669Z,5ee7598a556129600dd5ed9e
1361,2001-03-01T05:00:00.000Z,Earthquake,857,BUILDING DAMAGE - NORTH TOLL PLAZA,033-UP9A5-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,34.58,2001-10-24T04:18:34.000Z,5fabdf5161fcbdceb4e92925fbf0b5c2a851ce25,2021-07-14T16:34:13.670Z,5ee7598a556129600dd5ed9f
1361,2001-03-01T05:00:00.000Z,Earthquake,861,BUILDING DAMAGE  -  RADISSON HOTEL,033-UP9A5-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,23965.38,17974.04,18304.76,2002-02-20T04:12:17.000Z,bf553364484c32f26d5e81bd1e87e0796768a102,2021-07-14T16:34:13.672Z,5ee7598a556129600dd5eda1
1361,2001-03-01T05:00:00.000Z,Earthquake,867,BUILDING DAMAGE  -  ODYSSEY MARITIME DISCOVERY CENTER,033-UD0D1-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,20114.85,15086.14,15768.04,2001-09-15T00:31:15.000Z,9147bb95dd5cb3391f5f39305a565f0ef23f8770,2021-07-14T16:34:13.675Z,5ee7598a556129600dd5eda7
1361,2001-03-01T05:00:00.000Z,Earthquake,869,UTILITY DAMAGE - UNDERGROUND/UNDER PIER FRESH WATER UTILITIES,033-UP9A5-00,F - Public Utilities,F,Public Utilities,Large,King,33,Washington,WA,53,151969.15,113976.87,115969.04,2001-11-20T23:27:43.000Z,a4fa31ceff0ac4f852ee121b92032dad72bed243,2021-07-14T16:34:13.676Z,5ee7598a556129600dd5eda9
