source,GEOID,Year,variable,mean,up,low
NA,North Seattle,2002,Average household size among renters,2.121694204968156,2.589767292354984,1.6719249246693704
NA,NW Seattle,2002,Average household size among renters,2.101292167748985,2.5756915460235446,1.6424836617349448
NA,QA/Magnolia,2002,Average household size among renters,1.9207130018194443,2.3948762690967715,1.4618115870625408
NA,Redmond,2002,Average household size among renters,2.054891304502989,2.522257879866905,1.598906127745347
NA,Renton-East,2002,Average household size among renters,2.482722340624209,2.957216552280788,2.0239600500702237
NA,Renton-North,2002,Average household size among renters,2.6072079425910633,3.081799344083909,2.148547792514308
NA,Renton-South,2002,Average household size among renters,2.4922277070691137,2.966584157823622,2.0336232405985895
NA,Sammamish,2002,Average household size among renters,2.100672827858549,2.574878252977202,1.6417773583505135
NA,SE Seattle,2002,Average household size among renters,1.6261196913664504,2.100347735106883,1.1668604341715132
NA,SeaTac/Tukwila,2002,Average household size among renters,2.3221652309334018,2.7964586061143546,1.8634919850535683
NA,Shoreline,2002,Average household size among renters,1.6989094204867923,2.1730352740304655,1.2401947980195138
NA,Snoqualmie/North Bend/Skykomish,2002,Average household size among renters,2.177823241231278,2.6452785644522674,1.7218716973202464
NA,Vashon Island,2002,Average household size among renters,2.2664457851301747,2.7409904260723366,1.8075604940631935
NA,West Seattle,2002,Average household size among renters,1.8200467712775055,2.2942556654640436,1.3610034159408446
NA,Auburn-North,2003,Average household size among renters,2.1788645327962373,2.6754782439686715,1.6987474875442796
NA,Auburn-South,2003,Average household size among renters,2.116936292956465,2.613728237025685,1.636636576858308
NA,Ballard,2003,Average household size among renters,2.1054376137704014,2.602311876248936,1.6253467298189954
NA,Beacon/Gtown/S.Park,2003,Average household size among renters,1.814696928229158,2.3110674188022786,1.3345532628816035
NA,Bear Creek/Carnation/Duvall,2003,Average household size among renters,2.2119681825463946,2.7018848665463193,1.7345928878268704
NA,Bellevue-Central,2003,Average household size among renters,2.5066130405505263,3.0036488285779934,2.0266228629602794
NA,Bellevue-NE,2003,Average household size among renters,2.095707613435716,2.5923119236227254,1.6156923058208201
NA,Bellevue-South,2003,Average household size among renters,2.810646602592291,3.30775703137206,2.3307912180613206
NA,Bellevue-West,2003,Average household size among renters,1.8855594077802245,2.382277675460234,1.4053902883638218
NA,Black Diamond/Enumclaw/SE County,2003,Average household size among renters,1.9967942863538286,2.486596705413414,1.5193602050339614
NA,Bothell/Woodinville,2003,Average household size among renters,1.5280360114866494,2.02445901126219,1.047519393309983
NA,Burien,2003,Average household size among renters,2.3415177244716823,2.8383376464019303,1.8615439961598037
NA,Capitol Hill/E.lake,2003,Average household size among renters,1.9288472453774765,2.4254733273736924,1.4487616413812436
NA,Central Seattle,2003,Average household size among renters,1.985608622372957,2.4805807214110285,1.51534309339953
NA,Covington/Maple Valley,2003,Average household size among renters,2.289843758216977,2.7797964458702524,1.812595093319092
NA,Delridge,2003,Average household size among renters,1.763325736783057,2.259897289751578,1.2828997470002432
NA,Des Moines/Normandy Park,2003,Average household size among renters,2.367843639220377,2.8647312874193562,1.8878318085972867
NA,Downtown,2003,Average household size among renters,1.975650679799635,2.47230893891754,1.4955256544780013
NA,East Federal Way,2003,Average household size among renters,2.1151850078891954,2.611849841928348,1.6350936718703222
NA,Fairwood,2003,Average household size among renters,3.112523977514033,3.6098194816236844,2.6327948352244803
NA,Fed Way-Central/Military Rd,2003,Average household size among renters,2.31261223000126,2.8095282284642553,1.8323965150092916
NA,Fed Way-Dash Point/Woodmont,2003,Average household size among renters,2.2280040616156964,2.724810811732244,1.7478856975683799
NA,Fremont/Greenlake,2003,Average household size among renters,2.097225939151457,2.59384834966099,1.6172875743286945
NA,Issaquah,2003,Average household size among renters,2.4954716808220603,2.99237972532684,2.0155370107829436
NA,Kenmore/LFP,2003,Average household size among renters,1.7492371013554249,2.2458177486386175,1.2689388707675815
NA,Kent-East,2003,Average household size among renters,2.805560315319037,3.302551846571218,2.325815728197729
NA,Kent-SE,2003,Average household size among renters,2.4208129050528333,2.917572744511399,1.9408589078110792
NA,Kent-West,2003,Average household size among renters,2.180385680469725,2.677079958474608,1.7004246415920967
NA,Kirkland,2003,Average household size among renters,2.002748598196735,2.499282238177011,1.522711887045274
NA,Kirkland North,2003,Average household size among renters,1.7218930774835133,2.218298115810157,1.2416544434154035
NA,Mercer Isle/Pt Cities,2003,Average household size among renters,2.822800836397653,3.3199336895393774,2.342897187757007
NA,NE Seattle,2003,Average household size among renters,2.103495790665268,2.5936710826406917,1.6330651852990146
NA,Newcastle/Four Creeks,2003,Average household size among renters,2.3370193224853852,2.8270266357326586,1.8598093204393504
NA,North Highline,2003,Average household size among renters,2.8233578627255795,3.3207567903012523,2.3432923907115395
NA,North Seattle,2003,Average household size among renters,2.112573156254801,2.6027816820592893,1.6421202497359957
NA,NW Seattle,2003,Average household size among renters,2.0921898591053028,2.5889629195509514,1.6121482459409173
NA,QA/Magnolia,2003,Average household size among renters,1.9116096655135788,2.408132730460099,1.43149805842254
NA,Redmond,2003,Average household size among renters,2.0457744139530645,2.5356159038522157,1.56834098397578
NA,Renton-East,2003,Average household size among renters,2.4736190226054346,2.9704929556085853,1.9937525895437396
NA,Renton-North,2003,Average household size among renters,2.5981053171773842,3.095092146480812,2.118258025560233
NA,Renton-South,2003,Average household size among renters,2.483124804969922,2.979873540255513,2.003348001763734
NA,Sammamish,2003,Average household size among renters,2.0915692645040846,2.5881491915483577,1.6114594377712235
NA,SE Seattle,2003,Average household size among renters,1.6170146812881974,2.1135890788570513,1.1366433631567185
NA,SeaTac/Tukwila,2003,Average household size among renters,2.3130626512873973,2.8097457317499313,1.8331607652720074
NA,Shoreline,2003,Average household size among renters,1.6898060663243326,2.1862703611800787,1.2098991757380626
NA,Snoqualmie/North Bend/Skykomish,2003,Average household size among renters,2.1687064465361137,2.6586450011117515,1.691335477741439
NA,Vashon Island,2003,Average household size among renters,2.257343086134844,2.7542679619445867,1.7772350291991619
NA,West Seattle,2003,Average household size among renters,1.8109427492274626,2.30750812120967,1.3307079649894855
NA,Auburn-North,2004,Average household size among renters,2.194591394585043,2.681913617672043,1.721305819804292
NA,Auburn-South,2004,Average household size among renters,2.1326629296949164,2.6201408874760728,1.659231098027148
NA,Ballard,2004,Average household size among renters,2.1211635065570134,2.6087481975853546,1.6478939366307566
NA,Beacon/Gtown/S.Park,2004,Average household size among renters,1.8304245144429923,2.3175216369333964,1.35707142602869
NA,Bear Creek/Carnation/Duvall,2004,Average household size among renters,2.2277112975727644,2.7085234383409253,1.7572104233437587
NA,Bellevue-Central,2004,Average household size among renters,2.522339190232055,3.0101004491314765,2.0491484053305062
NA,Bellevue-NE,2004,Average household size among renters,2.111434948021004,2.598778390422468,1.638185267102115
NA,Bellevue-South,2004,Average household size among renters,2.826371714700432,3.3141837013584907,2.3533700365601664
NA,Bellevue-West,2004,Average household size among renters,1.9012877357251001,2.38879300860041,1.4277666632789092
NA,Black Diamond/Enumclaw/SE County,2004,Average household size among renters,2.0125384964006927,2.4932753946618735,1.5419075482773796
NA,Bothell/Woodinville,2004,Average household size among renters,1.543762967421605,2.03086512967784,1.0701199621239168
NA,Burien,2004,Average household size among renters,2.357243882405648,2.8447865318264727,1.88407540305406
NA,Capitol Hill/E.lake,2004,Average household size among renters,1.9445737813839952,2.4319099718362818,1.4713127215762642
NA,Central Seattle,2004,Average household size among renters,2.0013577824073314,2.4885915834468837,1.536680518780721
NA,Covington/Maple Valley,2004,Average household size among renters,2.3055879685586427,2.786488453266744,1.83511811118395
NA,Delridge,2004,Average household size among renters,1.7790527997143442,2.266323289134077,1.3054607751545608
NA,Des Moines/Normandy Park,2004,Average household size among renters,2.383569832611407,2.8711726121229533,1.9103755167593643
NA,Downtown,2004,Average household size among renters,1.9913770689758195,2.4787290732791094,1.5181125047006703
NA,East Federal Way,2004,Average household size among renters,2.1309119753277637,2.6182932537590196,1.6576298994880925
NA,Fairwood,2004,Average household size among renters,3.1282488498735446,3.616264224603857,2.6553400953366206
NA,Fed Way-Central/Military Rd,2004,Average household size among renters,2.32833832839534,2.815960700471371,1.8549558779381023
NA,Fed Way-Dash Point/Woodmont,2004,Average household size among renters,2.243730612540569,2.7312483569829453,1.7704334301359752
NA,Fremont/Greenlake,2004,Average household size among renters,2.1129521453569544,2.600288404016941,1.6398384323748254
NA,Issaquah,2004,Average household size among renters,2.511197691169634,2.998818682044436,2.0380889442545023
NA,Kenmore/LFP,2004,Average household size among renters,1.7649634456602565,2.252217153956038,1.2915568327138434
NA,Kent-East,2004,Average household size among renters,2.8212860497648524,3.309012685294267,2.3483341563166755
NA,Kent-SE,2004,Average household size among renters,2.4365392623940556,2.924006518868285,1.963423144072405
NA,Kent-West,2004,Average household size among renters,2.1961131665736953,2.683553577268488,1.7229029975295629
NA,Kirkland,2004,Average household size among renters,2.018475792371702,2.5057352137415023,1.5452352322181893
NA,Kirkland North,2004,Average household size among renters,1.7376202538405687,2.224729601761851,1.2642118164537268
NA,Mercer Isle/Pt Cities,2004,Average household size among renters,2.8385255876929416,3.3263488037415696,2.365500572112258
NA,NE Seattle,2004,Average household size among renters,2.119256140094415,2.6014901782846156,1.654770692104302
NA,Newcastle/Four Creeks,2004,Average household size among renters,2.352763368200411,2.83372503774629,1.8823176383047244
NA,North Highline,2004,Average household size among renters,2.8390813152354673,3.3271200753056784,2.3659775685445146
NA,North Seattle,2004,Average household size among renters,2.128333142504179,2.6105742299713484,1.6638571998840022
NA,NW Seattle,2004,Average household size among renters,2.1079157142752423,2.5953938476854814,1.6347097408144833
NA,QA/Magnolia,2004,Average household size among renters,1.927336404521807,2.414578009183737,1.4540362687387538
NA,Redmond,2004,Average household size among renters,2.0615181778605054,2.542270749617236,1.5909284248410849
NA,Renton-East,2004,Average household size among renters,2.4893462446075736,2.9769925213272814,2.016188620423572
NA,Renton-North,2004,Average household size among renters,2.613831550487103,3.101549700930566,2.1407745618389713
NA,Renton-South,2004,Average household size among renters,2.4988517856764947,2.9863442892827976,2.025845494000622
NA,Sammamish,2004,Average household size among renters,2.1072964481899823,2.594593181490616,1.6339993005377418
NA,SE Seattle,2004,Average household size among renters,1.6327429594097487,2.1200716147324674,1.1590846122033516
NA,SeaTac/Tukwila,2004,Average household size among renters,2.3287891007160617,2.816186031570777,1.8557124074927125
NA,Shoreline,2004,Average household size among renters,1.7055333275137416,2.192737949400022,1.232412366921497
NA,Snoqualmie/North Bend/Skykomish,2004,Average household size among renters,2.1844503699026108,2.6653150266777037,1.7138932109158438
NA,Vashon Island,2004,Average household size among renters,2.2730691774576117,2.7607020755290774,1.7997886262148939
NA,West Seattle,2004,Average household size among renters,1.8266701177002558,2.3139587380984485,1.3532268258417264
