Year,GEOID,pop,hh,average_hhsize
2045,Central Seattle,66054.43513996249,27493.810572924227,2.402520195036645
2045,Covington/Maple Valley,83470.40762706834,34365.26523774108,2.4289178928087645
2045,Delridge,47869.38795637149,19028.093220467712,2.515721748981155
2045,Des Moines/Normandy Park,46460.42208199839,18748.461985889266,2.4780924492348277
2045,Downtown,62235.29531657979,28781.95320857001,2.1623027063378326
2045,East Federal Way,57399.07553213101,22986.732776759167,2.497052368841412
2045,Fairwood,33398.4880842696,13715.667066916849,2.4350611546141345
2045,Fed Way-Central/Military Rd,86957.12749234402,34114.04058982506,2.5490128401348056
2045,Fed Way-Dash Point/Woodmont,45117.46366353251,17733.051976262504,2.5442582429649914
2045,Fremont/Greenlake,73583.6190210364,31618.29527793808,2.327248144601267
2045,Issaquah,24652.049203836097,10356.199086991577,2.380414763829863
2045,Kenmore/LFP,45854.14817213722,19363.36503891462,2.368087782262225
2045,Kent-East,52075.91088229603,20630.89108004632,2.524171674419945
2045,Kent-SE,78815.01509234904,31310.792884951155,2.517183623613369
2045,Kent-West,38695.929307247185,15026.809131218199,2.5751261608065805
2045,Kirkland,63074.69316614889,26861.705001170863,2.3481269399466473
2045,Kirkland North,43478.165388948524,18375.116438188397,2.3661436669097395
2045,Mercer Isle/Pt Cities,35737.47707782836,14954.926547777643,2.3896792113057272
2045,NE Seattle,97775.62568697748,37546.813779646334,2.6040991456905043
2045,Newcastle/Four Creeks,53407.4012547751,22315.330957957744,2.393305362819626
2045,North Highline,27747.22744262585,10751.68808109605,2.5807321820851445
2045,North Seattle,60274.46696341859,25394.794339368567,2.373496952089012
2045,NW Seattle,57695.135286712575,24726.589565297258,2.333323612395189
2045,QA/Magnolia,80416.45485400528,34986.59433240364,2.2984933626284887
2045,Redmond,74343.26499942211,31251.379377081867,2.378879476082953
2045,Renton-East,41167.207472038026,16614.901992229046,2.4777279752412826
2045,Renton-North,44002.013442353,17877.034304899033,2.4613709797656242
2045,Renton-South,79483.5874573246,31767.44620372853,2.502045236736582
2045,Sammamish,61548.113811661715,25168.234744646674,2.4454680447842336
2045,SE Seattle,61392.80011490382,24839.070781373994,2.4716222541199193
2045,SeaTac/Tukwila,70719.08730387223,27850.221045129365,2.5392648478185085
2045,Shoreline,63635.822369293666,27026.526671034095,2.3545690182044696
2045,Snoqualmie/North Bend/Skykomish,78726.57932017182,32531.993886582666,2.419973998354937
2045,Vashon Island,10522.749054925529,4679.406769153232,2.2487356996386287
2045,West Seattle,61785.33585249533,27238.466657210338,2.2683118190920646
